sim_time,scan_min,amcl_x,amcl_y,cov_x,cov_y,gt_x,gt_y,gt_yaw,error_dist
1783921695.894,0.615,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921696.926,0.570,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921697.958,0.587,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921699.001,0.614,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921700.020,0.569,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921701.050,0.589,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921702.086,0.613,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921703.110,0.567,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921704.141,0.592,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921705.166,0.611,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921706.189,0.567,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921707.213,0.595,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921708.238,0.609,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921709.261,0.566,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921710.293,0.597,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921711.329,0.615,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921712.360,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921713.387,0.600,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921714.423,0.605,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921715.461,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921716.491,0.591,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921717.525,0.612,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921718.544,0.572,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921719.575,0.583,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
